place_name,review_text,sentiment_food,sentiment_service,sentiment_price,sentiment_global
Pizzería Guerrin,Muy mala onda los empleados.,NEU,NEG,NEU,NEG
La Mezzetta,La comida normal y servicio excelente.,NEU,POS,NEU,POS
Antares,Buen precio.,NEU,NEU,POS,POS
La Mezzetta,La comida una obra de arte abstracto del horror y buen ambiente.,NEG,NEU,NEU,NEU
Kansas,"Me gusto el lugar, muy caro y regular la comida.",NEU,NEU,NEG,NEU
Sottovoce,"Bastante barato, ambiente estandar y la carne era una manteca.",POS,NEU,POS,POS
La Parolaccia,Servicio excelente.,NEU,POS,NEU,POS
La Cabrera,Me gusto el lugar.,NEU,NEU,NEU,POS
Las Violetas,Se deja comer.,NEU,NEU,NEU,NEU
Rapanui,Un poco caro y lugar normal.,NEU,NEU,NEG,NEG
El Pobre Luis,Nada del otro mundo la comida y buen precio.,NEU,NEU,POS,POS
El Cuartito,Nada especial el lugar y poco rico.,NEG,NEU,NEU,NEG
La Cabrera,No es caro.,NEU,NEU,POS,POS
Don Julio,La atención fue genial y no me pareció rico.,NEG,POS,NEU,NEU
Don Julio,Comida aceptable y no es caro.,NEU,NEU,POS,POS
Pizzería Guerrin,Ambiente estandar.,NEU,NEU,NEU,NEU
La Cabrera,Precio acorde.,NEU,NEU,NEU,NEU
El Cuartito,El lugar esta bueno y la carne estaba dura.,NEG,NEU,NEU,NEU
El Pobre Luis,Nada especial el lugar y precios accesibles.,NEU,NEU,POS,POS
La Parolaccia,"Excelente relación precio calidad, lugar normal y los platos son abundantes y deliciosos.",POS,NEU,POS,POS
Don Julio,Comida aceptable.,NEU,NEU,NEU,NEU
Antares,Destaco la atención.,NEU,POS,NEU,POS
Rapanui,La atención normal.,NEU,NEU,NEU,NEU
Sottovoce,Gracias por la demora y la comida una obra de arte abstracto del horror.,NEG,NEG,NEU,NEG
Antares,"No me gustó la comida, la atención fue genial y buen precio.",NEG,POS,POS,POS
Don Julio,Mala ambientacion.,NEU,NEU,NEU,NEG
La Cabrera,Lugar feo y se deja comer.,NEU,NEU,NEU,NEG
Don Julio,Los mozos te tratan mal.,NEU,NEG,NEU,NEG
Kansas,Ambiente estandar.,NEU,NEU,NEU,NEU
La Cabrera,Nada especial el lugar.,NEU,NEU,NEU,NEU
Sottovoce,Ni muy muy ni tan tan.,NEU,NEU,NEU,NEU
Rapanui,"Teniamos frio, la atención fue genial y no me gusto el ambiente.",NEG,POS,NEU,NEG
La Parolaccia,Nada especial el lugar y incomible.,NEG,NEU,NEU,NEG
La Parolaccia,"Ideal para perder el tiempo, muy linda decoracion y precio acorde.",NEU,NEG,NEU,NEU
La Cabrera,Lo que esperas pagar y el lugar es hermoso.,NEU,NEU,NEU,POS
El Pobre Luis,Nadie nos prestaba atención.,NEU,NEG,NEU,NEG
La Parolaccia,No vale lo que cuesta y no estaba rico.,NEG,NEU,NEG,NEG
Pizzería Guerrin,Me encanto esperar 2 horas y precio acorde.,NEU,NEG,NEU,NEG
Rapanui,Servicio excelente.,NEU,POS,NEU,POS
Don Julio,"Excelente sabor, lugar sucio y muy atentos en todo momento.",POS,POS,NEU,POS
La Mezzetta,"Muy linda decoracion, todo muy grasoso y no vale lo que cuesta.",NEG,NEU,NEG,NEG
Don Julio,Una estafa el precio y buen ambiente.,NEU,NEU,NEG,NEU
La Cabrera,Cumplieron con el pedido.,NEU,NEU,NEU,NEU
La Mezzetta,Tiempos de espera normales y platos estándar.,NEU,NEU,NEU,NEU
Pizzería Guerrin,Cumplieron con el pedido y nada especial el lugar.,NEU,NEU,NEU,NEU
El Pobre Luis,Lugar normal y la carne era una manteca.,POS,NEU,NEU,POS
Rapanui,La pizza es la mejor de buenos aires.,POS,NEU,NEU,POS
Rapanui,"Atención sin destacar, no es barato ni caro y me gusto el lugar.",NEU,NEU,NEU,POS
Rapanui,Precio acorde y se deja comer.,NEU,NEU,NEU,NEU
Sottovoce,El lugar esta bueno.,NEU,NEU,NEU,POS
El Pobre Luis,Nada especial el lugar.,NEU,NEU,NEU,NEU
Kansas,"Todo muy rico, precios accesibles y nada especial el lugar.",POS,NEU,POS,POS
Las Violetas,La atención normal.,NEU,NEU,NEU,NEU
Pizzería Guerrin,Precios por las nubes y ambiente estandar.,NEU,NEU,NEG,NEG
La Mezzetta,Nada especial el lugar y gracias por la demora.,NEU,NEG,NEU,NEG
Don Julio,Buen ambiente y la comida estaba exquisita.,POS,NEU,NEU,POS
La Parolaccia,"No es caro, sabroso y fresco y atención sin destacar.",POS,NEU,POS,POS
Pizzería Guerrin,"Cumplieron con el pedido, platos estándar y no vale lo que cuesta.",NEU,NEU,NEG,NEG
Sottovoce,La comida llegó fría y el lugar se cae a pedazos.,NEG,NEU,NEU,NEG
El Pobre Luis,"La comida un desastre, la atención fue genial y mala ambientacion.",NEG,POS,NEU,NEG
La Parolaccia,"Genial si te gusta comer frio, muy mala onda los empleados y muy caro.",NEG,NEG,NEG,NEG
Antares,Muy linda decoracion y no me pareció rico.,NEG,NEU,NEU,NEU
La Cabrera,Lindo lugar.,NEU,NEU,NEU,POS
Rapanui,Platos estándar.,NEU,NEU,NEU,NEU
La Mezzetta,Ambiente estandar y tardaron mil años en atender.,NEU,NEG,NEU,NEG
Las Violetas,"El lugar esta bueno, me encanto esperar 2 horas y precios altos.",NEU,NEG,NEG,NEG
La Cabrera,Precios altos.,NEU,NEU,NEG,NEG
La Mezzetta,Teniamos frio.,NEG,NEU,NEU,NEG
Rapanui,Precios un poco elevados para lo que ofrecen y ambiente estandar.,NEU,NEU,NEG,NEG
Las Violetas,Lugar normal.,NEU,NEU,NEU,NEU
Don Julio,Muy mala onda los empleados y excelente relación precio calidad.,NEU,NEG,POS,NEU
Sottovoce,Nos atendieron de maravilla.,NEU,POS,NEU,POS
Pizzería Guerrin,Gracias por la demora y todo muy rico.,POS,NEG,NEU,NEU
La Cabrera,La comida normal y ambiente estandar.,NEU,NEU,NEU,NEU
Rapanui,Excelente relación precio calidad y tiempos de espera normales.,NEU,NEU,POS,POS
Pizzería Guerrin,"No es barato ni caro, lugar sucio y servicio lento y malo.",NEU,NEG,NEU,NEG
La Cabrera,Ambiente estandar y precios accesibles.,NEU,NEU,POS,POS
Pizzería Guerrin,Precio acorde.,NEU,NEU,NEU,NEU
La Mezzetta,"No me pareció rico, no me gusto el lugar y precios altos.",NEG,NEU,NEG,NEG
Rapanui,No es barato ni caro.,NEU,NEU,NEU,NEU
Las Violetas,Muy linda decoracion.,NEU,NEU,NEU,POS
La Cabrera,Bien si te gusta lo crudo y el lugar se cae a pedazos.,NEG,NEU,NEU,NEG
El Cuartito,El servicio correcto y se deja comer.,NEU,NEU,NEU,NEU
Pizzería Guerrin,"Precios de mercado, tardaron mil años en atender y no me gusto el ambiente.",NEU,NEG,NEU,NEG
Pizzería Guerrin,La comida estaba exquisita.,POS,NEU,NEU,POS
Las Violetas,No me gusto el lugar y precios de mercado.,NEU,NEU,NEU,NEG
La Mezzetta,"Tiempos de espera normales, regular la comida y no me gusto el lugar.",NEU,NEU,NEU,NEG
Antares,Falta personal y buen precio.,NEU,NEG,POS,NEU
La Parolaccia,No me gustó la comida y nadie nos prestaba atención.,NEG,NEG,NEU,NEG
Rapanui,Lugar feo.,NEU,NEU,NEU,NEG
El Pobre Luis,"Lugar feo, me encanto esperar 2 horas y muy caro.",NEU,NEG,NEG,NEG
Antares,Me gusto el lugar.,NEU,NEU,NEU,POS
La Parolaccia,Que rica comida y brillante atencion si no tienes prisa.,POS,NEG,NEU,NEU
Kansas,Muy mala onda los empleados.,NEU,NEG,NEU,NEG
El Cuartito,El servicio correcto y precios elevados.,NEU,NEU,NEG,NEG
La Parolaccia,Precios de mercado.,NEU,NEU,NEU,NEU
Antares,Me encanto esperar 2 horas y el lugar es hermoso.,NEU,NEG,NEU,NEU
Sottovoce,Ambiente estandar y no es barato ni caro.,NEU,NEU,NEU,NEU
La Mezzetta,Nada del otro mundo la comida y precio acorde.,NEU,NEU,NEU,NEU
Las Violetas,El lugar es hermoso.,NEU,NEU,NEU,POS
Kansas,Excelente relación precio calidad.,NEU,NEU,POS,POS
Rapanui,Lugar normal.,NEU,NEU,NEU,NEU
Rapanui,La pizza estaba cruda.,NEG,NEU,NEU,NEG
Rapanui,"Precio acorde, lugar sucio y el servicio correcto.",NEU,NEU,NEU,NEG
Rapanui,Lo que esperas pagar y ambiente estandar.,NEU,NEU,NEU,NEU
La Mezzetta,Lugar normal.,NEU,NEU,NEU,NEU
Sottovoce,"Tiempos de espera normales, se deja comer y te arrancan la cabeza.",NEU,NEU,NEG,NEG
Pizzería Guerrin,Se deja comer.,NEU,NEU,NEU,NEU
Rapanui,"Lindo lugar, el mozo super amable y bastante barato.",NEU,POS,POS,POS
Antares,Buen ambiente y un poco caro.,NEU,NEU,NEG,NEU
Las Violetas,Comida aceptable.,NEU,NEU,NEU,NEU
Antares,Nos atendieron de maravilla y bastante barato.,NEU,POS,POS,POS
Rapanui,Se deja comer y precio acorde.,NEU,NEU,NEU,NEU
Las Violetas,El lugar esta bueno.,NEU,NEU,NEU,POS
El Cuartito,Me encantó la comida.,POS,NEU,NEU,POS
La Parolaccia,Me pareció carísimo.,NEU,NEU,NEG,NEG
Don Julio,"Ambiente estandar, excelente sabor y cumplieron con el pedido.",POS,NEU,NEU,POS
La Mezzetta,La atención fue pésima y no es caro.,NEU,NEG,POS,NEU
La Cabrera,Atención sin destacar.,NEU,NEU,NEU,NEU
El Cuartito,Precios accesibles.,NEU,NEU,POS,POS
Pizzería Guerrin,Sabroso y fresco.,POS,NEU,NEU,POS
El Cuartito,Lugar sucio.,NEU,NEU,NEU,NEG
Don Julio,La comida estaba exquisita.,POS,NEU,NEU,POS
El Pobre Luis,Muy atentos en todo momento.,NEU,POS,NEU,POS
